table_number;table_name;material_group;material_code;material_label;level_1;level_2;level_3;level_4;description;description_main;abr_code;period_begin_code;period_begin_label;period_begin_group;period_end_code;period_end_label;period_end_group;date_range_text;indent_spaces
5;COMPLEX;;;;Economie;;;;IJzerwinning;IJzerwinning;EGYW;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Industrie/nijverheid;Industrie/nijverheid;EIX;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Kalkbranderij;Kalkbranderij;EIKB;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Kleiwinning;Kleiwinning;EGKW;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Landbouw;Landbouw;ELX;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Leerlooierij;Leerlooierij;EILL;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Mergel-/kalkwinning;Mergel-/kalkwinning;EGMW;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Metaalbewerking/smederij;Metaalbewerking/smederij;EIMB;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Molen;Molen;EIM;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Pottenbakkerij;Pottenbakkerij;EIPB;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Scheepvaart;Scheepvaart;ESCH;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Smelterij;Smelterij;EISM;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Steen-/pannenbakkerij;Steen-/pannenbakkerij;EISB;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Textielnijverheid;Textielnijverheid;EITN;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Veekraal/schaapskooi;Veekraal/schaapskooi;ELVK;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Veenwinning;Veenwinning;EGVW;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Visserij;Visserij;EVX;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Vuursteenbewerking;Vuursteenbewerking;EIVB;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Vuursteenwinning;Vuursteenwinning;EGVW;;;;;;;;3
5;COMPLEX;;;;Economie;;;;Zoutwinning/moernering;Zoutwinning/moernering;EGZW;;;;;;;;3
5;COMPLEX;;;;;;;;Begraving;Begraving;;;;;;;;;0
5;COMPLEX;;;;Begraving;;;;Crematiegraf;Crematiegraf;GC;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Dieregraf;Dieregraf;GD;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Grafheuvel, crematie;Grafheuvel, crematie;GHC;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Grafheuvel, gemengd;Grafheuvel, gemengd;GHIC;;;;;;;;2
5;COMPLEX;;;;Begraving;;;;Grafheuvel, inhumatie;Grafheuvel, inhumatie;GHI;;;;;;;;2
