Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19
6884785;Rijksmuseum;Rijksmuseum;Ard-mhusaem na hIsiltire,Ard-mhúsaem na hÍsiltíre,Drzavni muzej u Amsterdamu,Drzhaven muzej,Državni muzej u Amsterdamu,Durzhaven muzej,Dzjarzhauny muzej,Nacionalni muzej u Amsterdamu,Reiksmouzeoum,Rejksmjuseum,Rejksmuzej,Reyksmuezyem,Reyksmüzyem,Rijks muzeyi,Rijksmuseum,Rijksmuseum Amsterdam,Rijksmuzeum Amsterdam,Ryksmuseum Amsterdam,Valstybinis muziejus,a mu si te dan guo jia bo wu guan,amseuteleudam guglibmisulgwan,amusuterudamu guo li mei shu guan,mthf rayks,mthf rykz,mwzh ampratwry,riks mux seyum xamstexrdam,riksmyusiyam,ryk mwzh,Ρέικσμουζεουμ,Дзяржаўны музей,Државен музеј,Държавен музей,Национални музеј у Амстердаму,Рейксмузей,Рейксмюсеум,Ријксмузеум Амстердам,Պետական թանգարան,רייקסמוזיאום,رائیکس میوزیم ایمسٹرڈیم,ریک موزه,متحف رايكس,متحف ريكز,موزه امپراتوری,റിക്സ്മ്യൂസിയം,ไรกส์มือเซยึม อัมสเตอร์ดัม,რეიკსმუზეუმი,アムステルダム国立美術館,阿姆斯特丹国家博物馆,阿姆斯特丹國家博物館,암스테르담 국립미술관;5235999;488536;S;MUS;NL;;7;363;;;0;;12;Europe/Amsterdam;25/10/2014
6884786;Van Gogh Museum;Van Gogh Museum;Mirdi van Gogh,Mouseio Van Nkonk,Musee Van Gogh,Museo van Gogh,Museu Van Gogh,Musée Van Gogh,Muzej Van Goga,Muzej Vinsenta Van Goga,Muzej van Goga,Muzeul Van Gogh,Muzeum Vincenta van Gogha,Muzium Van Gogh,Van Gogh -museo,Van Gogh Muezesi,Van Gogh Museoa,Van Gogh Muzeum,Van Gogh Múzeum,Van Gogh Müzesi,Van Gogh Savnid,Van Gogh Savnið,Van Gogh-museet,Van Goghovo muzeum,Van Gogo muziejus,ban goheu misulgwan,fan gao bo wu guan,fan gwg mywzym,gohho mei shu guan,mthf fan ghwkh,vana gaga mi'uji'ama,Μουσείο Βαν Γκογκ,Ван Гог мұражайы,Музей Винсента Ван Гога,Музей ван Гога,Музеј Ван Гога,Վան Գոգի թանգարան,מוזיאון ואן גוך,فان گوگ میوزیم,متحف فان غوخ,ون‌گوگ موزه,ਵਾਨ ਗਾਗ ਮਿਊਜੀਅਮ,ゴッホ美術館,梵高博物館,梵高博物馆,반 고흐 미술관;5235854;488088;S;MUS;NL;;7;363;;;0;;5;Europe/Amsterdam;14/02/2011
6884787;Stedelijk Museum Amsterdam;Stedelijk Museum Amsterdam;;5235821;487967;S;MUS;NL;;7;363;;;0;;5;Europe/Amsterdam;14/04/2012
6888798;Calveen;Calveen;;5219688;539248;P;PPLX;NL;;9;307;;;130;;2;Europe/Amsterdam;24/03/2017
6901755;'s Gravendam;'s Gravendam;;5224853;449444;P;PPLX;NL;;11;575;;;0;;1;Europe/Amsterdam;20/01/2019
6929953;Kelpen-Oler;Kelpen-Oler;;5121817;582602;P;PPLS;NL;;5;1640;;;1170;;28;Europe/Amsterdam;17/10/2017
6929954;Stopplaats Ittersum;Stopplaats Ittersum;;5248451;610617;S;RSTPQ;NL;;15;193;;;0;;2;Europe/Amsterdam;14/04/2012
6929978;Gijzenrooise Zegge;Gijzenrooise Zegge;;5141667;553333;L;RESN;NL;;6;1771;;;0;;21;Europe/Amsterdam;11/01/2009
6929979;Karpendonkse Plas;Karpendonkse Plas;Karpendonksche Plas;514531;550055;H;LK;NL;;6;772;;;0;;19;Europe/Amsterdam;11/01/2009
6929980;Muschberg en Geestenberg;Muschberg en Geestenberg;;5144384;552329;P;PPLX;NL;;6;772;;;3836;;18;Europe/Amsterdam;11/01/2009
6929981;Karpen;Karpen;;5145401;550604;P;PPLX;NL;;6;772;;;425;;18;Europe/Amsterdam;24/03/2017
6929982;Koudenhoven;Koudenhoven;;5145476;551402;P;PPLX;NL;;6;772;;;485;;16;Europe/Amsterdam;24/03/2017
6929983;Het Busselke;Het Busselke;;5144501;551078;P;PPLX;NL;;6;772;;;250;;18;Europe/Amsterdam;11/01/2009
6929984;Villapark;Villapark;;5144144;549385;P;PPLX;NL;;6;772;;;2050;;21;Europe/Amsterdam;24/03/2017
6929985;Lakerlopen;Lakerlopen;;5143791;550106;P;PPLX;NL;;6;772;;;3355;;18;Europe/Amsterdam;24/03/2017
6929988;Station Geleen-Lutterade;Station Geleen-Lutterade;;5097601;582541;S;RSTN;NL;;5;1883;;;0;;67;Europe/Amsterdam;12/01/2009
6929989;Station Bunde;Station Bunde;;5089677;573667;S;RSTN;NL;;5;938;;;0;;52;Europe/Amsterdam;04/06/2011
6929990;Loenensche Brug;Loenensche Brug;Loenensebrug;5213984;604072;S;BDG;NL;;3;200;;;0;;14;Europe/Amsterdam;02/12/2009
6929991;Klabanusbrug;Klabanusbrug;;5213383;604295;S;BDG;NL;;3;200;;;0;;15;Europe/Amsterdam;12/01/2009
6929992;Berkel en Rodenrijs;Berkel en Rodenrijs;;5199313;447865;P;PPL;NL;;11;1621;;;20189;;0;Europe/Amsterdam;17/10/2017
6930031;Reitdiep;Reitdiep;;5324252;651957;P;PPLX;NL;;4;14;;;2625;;-3;Europe/Amsterdam;24/03/2017
6930032;Windlust;Windlust;;5328226;678418;S;MLWND;NL;;4;1952;;;0;;-3;Europe/Amsterdam;20/01/2019
6930033;Hoeksmeer;Hoeksmeer;;5329364;678569;H;LK;NL;;4;;;;0;;-4;Europe/Amsterdam;17/01/2009
6930102;ING Bank ATM;ING Bank ATM;;5219583;600624;S;ATM;NL;;3;200;;;0;;12;Europe/Amsterdam;23/01/2009
6930103;Rabobank ATM;Rabobank ATM;;5219493;600466;S;ATM;NL;;3;200;;;0;;12;Europe/Amsterdam;23/01/2009
